,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,-0.04400610765821669
329,-0.04842708149148637
330,0.025078249119100313
331,-0.07447608889225704
332,-0.0534193331852848
333,-0.0933724163697736
334,-0.02063112363990412
335,-0.0010032041190199336
336,-0.034597009777965024
337,-0.08247315036836478
338,-0.1842995687046874
339,-0.009422016798968641
340,-0.025078002215039093
341,-0.024616111831357503
342,-0.008315599694125706
343,0.002262653021407316
344,-0.003766199443898061
345,-0.07239635525447713
346,-0.0026286175116929746
347,-0.03481044121159992
348,0.017001475841028863
349,-0.006542228094757068
350,0.06159432135038608
351,-0.09626886649374564
352,-0.04085765398133294
353,-0.2162226395793185
354,0.001640682549040472
355,-0.0793908146624932
356,0.23686727218502182
357,-0.08692981159514199
358,-0.004777849916970278
359,-0.004011651773009754
360,-0.23114835227754454
361,-0.004126368328307251
362,-0.0032476765672444074
363,0.005661623272206868
364,0.11196232907052084
365,-0.003975382258052051
366,-0.002585248103849195
367,0.23855713415157492
368,-0.05649664722571265
369,0.0004429742652483347
370,-0.008916036519766064
371,-0.0060614278870943705
372,-0.05153152392346771
373,-0.028116356376728036
374,-0.0036070106968073114
375,-0.0395739251867556
376,-0.05318561470152579
377,-0.06159430550533698
378,-0.2213005325924561
379,0.001972511717891843
380,-0.024962899955502646
381,-0.02533381407686964
382,0.04965982126571615
383,-0.13392292923553184
384,-0.004707341589337974
385,-0.0577960764854775
386,0.0025944963646256734
387,-0.06536889155965109
388,0.12469739144144434
389,0.18938121928907203
390,0.02490923549440712
391,0.16647928351117766
392,0.0075914947926513385
393,0.03307414794921845
394,0.1554092715863624
395,-0.08682914840708511
396,0.3902665054296796
397,-0.03200029451924346
398,0.23638232169876872
399,0.15607922374836322
400,0.16627359020191668
401,-0.009272943511252697
402,-0.11076287628214021
403,-0.10813968602127086
404,-0.09639606074884378
405,0.03128274921164694
406,0.03860887539849822
407,-0.039960523129340286
408,-0.10642264757973517
409,-0.10503958807784944
410,-0.07246970798726385
411,-0.019614017612254907
412,0.006369266728471245
413,-0.06193758034443323
414,-0.011431064949348648
415,-0.21372361923116712
416,-0.04972820412527683
417,-0.0010022230897780715
418,-0.013648714575395165
419,-0.06906672739428188
420,-0.22299706469126215
421,-0.009421985291312983
422,-0.006369050920840339
423,-0.03550454744474182
424,-0.00831457344785008
425,0.0022683493354421756
426,-0.0037636053806074116
427,-0.04956507379470861
428,-0.0026283424899921485
429,-0.030824317867098012
430,0.10490622531389249
431,-0.006531756451752879
432,0.08479365458742279
433,-0.0002286875300186901
434,-0.03372864227419701
435,-0.21820684904393362
436,0.0017554134709016603
437,-0.08935456821996789
438,0.012628019893223178
439,-0.1199487236079905
440,-0.0047779299123944996
441,-0.004013210923759506
442,-0.01078886596813559
443,-0.004122307875802628
444,-0.0032492648157589395
445,0.08575858109442602
446,-0.01312485900098472
447,-0.003971629316912764
448,-0.002586908743040926
449,0.27879524966044705
450,-0.05439683954254328
